SHAPE,GIS_IDNTFC_NO,PNU,LD_CPSG_CODE,LD_EMD_LI_CODE,REGSTR_SE_CODE,MNNM,SLNO,SRC_OBJECTID,SRC_LD_CPSG_CODE,BULD_IDNTFC_NO,AGBLDG_SE_CODE,BULD_KND_CODE,BULD_TOTAR,STRCT_CODE,STRCT_CODE_NM,MAIN_PRPOS_CODE,MAIN_PRPOS_CODE_NM,BULD_HG,GROUND_FLOOR_CO,UNDGRND_FLOOR_CO,USE_CONFM_DE,BULD_AGE,AGRDE_SE_CODE,AGRDE_SE_CODE_NM,AGRDE_5_CLASS_SE_CODE,AGRDE_5_CLASS_SE_CODE_NM,FRST_REGIST_DT,PRMISN_DE,BULD_NM,BULD_DONG_NM
201253.5 453091.56 201244.74 453090.99 201245.43 453080.39 201246.21 453080.33 201246.38 453077.79 201253.98 453078.54 201253.95 453082.29 201256.96 453082.38 201256.79 453091.28 201253.64 453091.11 201253.5 453091.56,1998201250684530852400000000,1111017400100030003,11110,17400,1,0003,0003,4522,11110,4168,1,2,1099.57,21,철근콘크리트구조,04000,제2종근린생활시설,24.85,7,2,19980803,22,03,20대,025,25세미만,2019-01-31Z,19960806,,
198547.157 452398.848 198553.446 452402.56 198558.687 452405.658 198554.337 452413.298 198539.767 452404.819 198544.567 452397.318 198547.157 452398.848,0000198549314524052800000000,1111012800101920047,11110,12800,1,0192,0047,19939,11110,24284,1,2,245.72,12,블록구조,04000,제2종근린생활시설,0,2,0,,,ZZ,기타,ZZZ,구분없,2019-01-31Z,,,
201218.424 452091.713 201210.253 452093.393 201209.203 452085.823 201217.224 452084.893 201218.424 452091.713,1958201213714520889800000000,1111017400103910010,11110,17400,1,0391,0010,5667,11110,9390,1,2,48.17,12,블록구조,04000,제2종근린생활시설,0,1,0,19580915,62,07,60대,065,65세미만,2019-01-31Z,,,
197366.698 453668.418 197360.438 453673.618 197352.367 453664.058 197358.388 453658.788 197366.698 453668.418,1995197359494536662200000000,1111010100101030000,11110,10100,1,0103,0000,24056,11110,15631,1,2,311.97,11,벽돌구조,01000,단독주택,10.1,3,1,19950309,25,03,20대,030,30세미만,2019-01-31Z,19940228,,
196591.211 452431.72 196586.011 452429.79 196589.811 452423.61 196590.131 452423.77 196591.181 452421.67 196591.911 452422.03 196592.431 452425.02 196592.091 452425.67 196592.541 452425.91 196593.361 452431.41 196591.331 452431.04 196591.211 452431.72,1997196590294524276000000000,1111018100102100134,11110,18100,1,0210,0134,13215,11110,4623,1,2,170.5,21,철근콘크리트구조,03000,제1종근린생활시설,15.1,4,1,19970205,23,03,20대,025,25세미만,2019-01-31Z,19960419,,
200958.456 452706.362 200956.842 452709.652 200954.481 452709.632 200954.171 452705.682 200957.831 452705.162 200958.456 452706.362,1984200956124527073300000000,1111017400105950066,11110,17400,1,0595,0066,176,11110,15094,1,2,62.65,11,벽돌구조,01000,단독주택,0,3,0,19841213,36,04,30대,040,40세미만,2019-01-31Z,,,
200916.472 452147.568 200914.612 452147.168 200914.422 452147.398 200907.042 452145.158 200914.762 452139.788 200918.062 452140.168 200916.472 452147.568,0000200913684521438100000000,1111017400104960000,11110,17400,1,0496,0000,5727,11110,27245,1,2,197.06,11,벽돌구조,03000,제1종근린생활시설,0,2,0,,,ZZ,기타,ZZZ,구분없,2019-01-31Z,,,
200590.679 452121.453 200583.719 452122.383 200583.989 452124.983 200581.599 452125.463 200581.949 452129.363 200576.359 452130.233 200572.989 452118.153 200573.899 452112.533 200590.269 452112.433 200590.679 452121.453,1968200581134521194300000000,1111016400101220001,11110,16400,1,0122,0001,6068,11110,22989,1,2,875.02,21,철근콘크리트구조,04000,제2종근린생활시설,0,6,1,19680530,52,06,50대,055,55세미만,2019-01-31Z,,,
200481.319 452174.515 200481.309 452175.445 200481.959 452176.115 200476.569 452182.895 200470.649 452177.365 200475.799 452170.405 200481.319 452174.515,0000200476384521765500000000,1111016400102440013,11110,16400,1,0244,0013,5183,11110,12125,1,2,135.54,11,벽돌구조,03000,제1종근린생활시설,0,2,1,,,ZZ,기타,ZZZ,구분없,2019-01-31Z,,신진빌딩,신진빌딩
200513.928 452120.614 200513.649 452126.924 200513.028 452127.014 200512.139 452134.464 200506.188 452133.184 200506.188 452132.314 200504.659 452132.064 200505.758 452126.504 200503.068 452125.634 200504.648 452119.534 200513.928 452120.614,0000200508894521263600000000,1111016400102470001,11110,16400,1,0247,0001,5186,11110,21379,1,2,190.26,11,벽돌구조,03000,제1종근린생활시설,9.4,3,1,,,ZZ,기타,ZZZ,구분없,2019-01-31Z,,,
200541.999 452113.344 200540.499 452124.274 200536.619 452124.394 200535.549 452123.754 200533.019 452121.664 200541.108 452113.004 200541.999 452113.344,0000200538324521197900000000,1111016400101260001,11110,16400,1,0126,0001,5187,11110,11376,1,2,119.94,51,일반목구조,03000,제1종근린생활시설,0,2,1,,,ZZ,기타,ZZZ,구분없,2019-01-31Z,,,
201011.148 452471.019 201010.298 452476.989 201008.348 452478.039 201005.598 452477.249 201006.728 452470.209 201011.148 452471.019,1994201008354524741200000000,1111017400101310109,11110,17400,1,0131,0109,7734,11110,28863,1,2,117.84,11,벽돌구조,01000,단독주택,8.5,2,1,19940628,26,03,20대,030,30세미만,2019-01-31Z,19930628,,
201457.582 453080.487 201453.502 453089.257 201450.162 453087.307 201450.452 453086.767 201449.082 453084.177 201449.881 453081.627 201448.112 453079.777 201449.992 453076.567 201457.582 453080.487,1985201452554530825600000000,1111017500100240010,11110,17500,1,0024,0010,3390,11110,13680,1,2,159.25,11,벽돌구조,01000,단독주택,0,2,1,19850807,35,04,30대,040,40세미만,2019-01-31Z,19850402,,
201446.981 453043.247 201446.151 453050.997 201441.261 453050.197 201441.291 453049.377 201440.381 453049.057 201441.841 453041.677 201446.981 453043.247,1967201443794530464900000000,1111017500100260010,11110,17500,1,0026,0010,3396,11110,20945,1,2,33.39,12,블록구조,01000,단독주택,0,2,0,19671121,53,06,50대,055,55세미만,2019-01-31Z,,,
201436.791 453026.687 201435.711 453039.627 201430.191 453039.117 201430.091 453038.587 201427.641 453037.927 201428.741 453026.777 201429.9 453026.327 201432.661 453026.427 201432.97 453025.687 201436.791 453026.687,1988201432324530326900000000,1111017500100410003,11110,17500,1,0041,0003,3409,11110,18105,1,2,228.36,11,벽돌구조,01000,단독주택,0,2,1,19880528,32,04,30대,035,35세미만,2019-01-31Z,19870929,,
201419.98 453008.727 201412.97 453012.567 201410.61 453008.507 201418.14 453004.077 201419.98 453008.727,0000201415444530084100000000,1111017500100460001,11110,17500,1,0046,0001,3412,11110,11102,1,2,29.75,51,일반목구조,01000,단독주택,0,1,0,,,ZZ,기타,ZZZ,구분없,2019-01-31Z,,,
203571.026 451064.886 203570.876 451074.776 203559.296 451074.556 203559.306 451067.126 203561.776 451064.386 203571.026 451064.886,2002203565244510697400000000,1120010700100010100,11200,10700,1,0001,0100,32443,11200,8369,1,2,294.36,21,철근콘크리트구조,01000,단독주택,11.9,4,0,20021224,18,02,10대,020,20세미만,2019-01-31Z,20011224,,
203417.614 451017.378 203417.154 451026.388 203405.654 451025.588 203406.064 451016.698 203417.614 451017.378,1996203411634510215100000000,1120010700100010020,11200,10700,1,0001,0020,32462,11200,8324,1,2,345.78,21,철근콘크리트구조,01000,단독주택,10.2,3,1,19960622,24,03,20대,025,25세미만,2019-01-31Z,19951031,,
203559.337 450475.601 203559.307 450488.072 203550.257 450493.362 203550.196 450475.352 203559.337 450475.601,1983203554494504831600000000,1120010700100370062,11200,10700,1,0037,0062,32595,11200,8665,1,2,329.77,21,철근콘크리트구조,01000,단독주택,9.3,3,0,19831201,37,04,30대,040,40세미만,2019-01-31Z,19830819,,
203550.548 450522.116 203548.972 450519.437 203547.849 450520.099 203546.526 450517.853 203550.068 450515.767 203548.898 450513.78 203554.254 450510.627 203555.831 450513.305 203554.967 450513.813 203555.883 450515.368 203556.75 450514.866 203558.832 450518.402 203553.649 450521.454 203553.14 450520.59 203550.548 450522.116,2012203552754505168600000000,1120010700100370056,11200,10700,1,0037,0056,50994,11200,100189452,1,2,288.95,21,철근콘크리트구조,04000,제2종근린생활시설,14.1,5,0,20120216,8,01,10세미만,010,10세미만,2019-01-31Z,20110822,,
201682.83 452245.266 201682.36 452246.856 201696.21 452253.086 201691.44 452263.076 201675.26 452256.647 201676.01 452254.337 201670.88 452251.676 201675.16 452242.136 201682.83 452245.266,1994201683224522529400000000,1111017500102320011,11110,17500,1,0232,0011,7057,11110,15542,1,2,1875.99,21,철근콘크리트구조,04000,제2종근린생활시설,23.35,6,2,19940118,26,03,20대,030,30세미만,2019-01-31Z,19920804,,
