SHAPE,PNU,LD_CPSG_CODE,LD_EMD_LI_CODE,REGSTR_SE_CODE,MNNM,SLNO,LNM_LNDCGR_SMBOL,SRC_OBJECTID,SRC_LD_CPSG_CODE,ISSU_CONFM_CODE,STDR_YEAR,STDR_MT,ADSTRD_EMD_CODE,PBLNTF_PCLND,LNDCGR_CODE,LNDCGR_CODE_NM,LNDPCL_AR,PRPOS_AREA_1,PRPOS_AREA_1_NM,PRPOS_AREA_2,PRPOS_AREA_2_NM,LAD_USE_SITTN,LAD_USE_SITTN_NM,TPGRPH_HG_CODE,TPGRPH_HG_CODE_NM,TPGRPH_FRM_CODE,TPGRPH_FRM_CODE_NM,ROAD_SIDE_CODE,ROAD_SIDE_CODE_NM,FRST_REGIST_DT
198467.828 452779.789 198465.313 452786.587 198454.009 452784.012 198456.938 452775.774 198467.828 452779.789,1111014100101750055,11110,14100,1,0175,0055,175-55대,194959,11110,1,2018,01,904,4347000,08,대,92.2,13,제1종일반주거지역,00,지정되지않음,110,단독,02,평지,02,가로장방,11,세로각지(불),2018-08-07Z
198481.781 452780.865 198485.529 452782.39 198482.123 452790.888 198473.622 452788.712 198467.978 452787.383 198472.246 452775.884 198472.569 452774.884 198486.563 452779.738 198485.902 452781.289 198482.164 452779.758 198481.781 452780.865,1111014100101750056,11110,14100,1,0175,0056,175-56 대,209409,11110,1,2018,01,904,4974000,08,대,174.9,13,제1종일반주거지역,00,지정되지않음,310,주상용,02,평지,01,정방형,11,세로각지(불),2018-08-07Z
198500.355 452784.79 198497.951 452791.68 198493.613 452793.552 198488.908 452792.55 198482.123 452790.888 198485.529 452782.39 198485.902 452781.289 198486.563 452779.738 198500.355 452784.79,1111014100101750057,11110,14100,1,0175,0057,175-57대,163212,11110,1,2018,01,904,8410000,08,대,158,13,제1종일반주거지역,00,지정되지않음,310,주상용,02,평지,04,사다리형,07,소로각지,2018-08-07Z
198500 452772.737 198504.222 452774.393 198500.566 452784.284 198500.355 452784.79 198486.563 452779.738 198489.996 452770.931 198490.501 452769.638 198490.737 452769.032 198490.907 452768.777 198493.817 452769.911 198493.528 452770.742 198495.669 452771.5 198495.891 452771.126 198500 452772.737,1111014100101750061,11110,14100,1,0175,0061,175-61대,163221,11110,1,2018,01,904,8149000,08,대,163,13,제1종일반주거지역,00,지정되지않음,310,주상용,02,평지,03,세로장방,06,소로한면,2018-08-07Z
198507.779 452763.491 198504.222 452774.393 198500 452772.737 198495.891 452771.126 198500 452760.434 198500.182 452759.952 198507.779 452763.491,1111014100101750062,11110,14100,1,0175,0062,175-62대,209540,11110,1,2018,01,904,8073000,08,대,98.2,13,제1종일반주거지역,00,지정되지않음,330,주상기타,02,평지,04,사다리형,06,소로한면,2018-08-07Z
198509.252 452759.762 198507.779 452763.491 198500.182 452759.952 198501.103 452757.822 198509.252 452759.762,1111014100101750063,11110,14100,1,0175,0063,175-63대,195456,11110,1,2018,01,904,8073000,08,대,23.8,13,제1종일반주거지역,00,지정되지않음,330,주상기타,02,평지,04,사다리형,06,소로한면,2018-08-07Z
198514.079 452746.152 198510.367 452756.479 198502.756 452753.413 198506.274 452743.758 198514.079 452746.152,1111014100101750064,11110,14100,1,0175,0064,175-64대,163258,11110,1,2018,01,904,8073000,08,대,86,13,제1종일반주거지역,00,지정되지않음,310,주상용,02,평지,04,사다리형,06,소로한면,2018-08-07Z
198515.826 452741.568 198514.079 452746.152 198506.274 452743.758 198508.353 452738.432 198515.826 452741.568,1111014100101750065,11110,14100,1,0175,0065,175-65대,163265,11110,1,2018,01,904,8073000,08,대,43.6,13,제1종일반주거지역,00,지정되지않음,310,주상용,02,평지,04,사다리형,06,소로한면,2018-08-07Z
198515.051 452737.145 198514.116 452736.692 198509.491 452734.693 198509.442 452734.973 198506.171 452733.476 198506.978 452731.108 198507.454 452729.712 198508.847 452730.066 198518.709 452733.498 198517.32 452737.086 198515.294 452736.476 198515.051 452737.145,1111014100101750067,11110,14100,1,0175,0067,175-67대,212428,11110,1,2018,01,904,8073000,08,대,48.7,13,제1종일반주거지역,00,지정되지않음,310,주상용,02,평지,04,사다리형,06,소로한면,2018-08-07Z
198500.182 452759.952 198500 452760.434 198495.891 452771.126 198495.669 452771.5 198493.528 452770.742 198493.817 452769.911 198497.434 452760.843 198494.318 452759.659 198494.757 452758.489 198495.211 452758.691 198497.616 452759.64 198499.216 452757.01 198500 452757.347 198501.103 452757.822 198500.182 452759.952,1111014100101750070,11110,14100,1,0175,0070,175-70대,163235,11110,1,2018,01,904,8073000,08,대,37.4,13,제1종일반주거지역,00,지정되지않음,330,주상기타,02,평지,04,사다리형,06,소로한면,2018-08-07Z
